accession,source_experiment,reason_excluded,n_sources
GCF_048851505.1,D8;M60_EXCLUSION:D8,prior_development_or_evaluation_or_reference_exposure,2
GCF_049190845.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_049340285.1,D12;D12_candidate_pool;M60_EXCLUSION:D12;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,4
GCF_049373995.1,D8;M60_EXCLUSION:D8,prior_development_or_evaluation_or_reference_exposure,2
GCF_049478495.1,M60_EXCLUSION:cohort_C;M60_EXCLUSION:cohort_C_pilot5;cohort_C;cohort_C_pilot5,prior_development_or_evaluation_or_reference_exposure,4
GCF_049727805.1,D12_candidate_pool;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_049810315.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_049904655.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_049913195.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_049943055.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_049993875.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_050039175.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_050310035.1,D8;M60_EXCLUSION:D8,prior_development_or_evaluation_or_reference_exposure,2
GCF_050506825.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_050600735.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_050749805.1,D12_candidate_pool;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_050847255.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_050871785.1,D12;D12_candidate_pool;M60_EXCLUSION:D12;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,4
GCF_050995455.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_051037005.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_051042445.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_051052775.1,M60_selected;M60_truth_final;decision_authority_poc_v5;known_failure_rescue_v5,prior_development_or_evaluation_or_reference_exposure,4
GCF_051167675.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_051384095.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_051388135.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_051549685.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_051791395.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_051853115.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_051908375.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_051917095.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_051917665.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_051937875.1,D12_candidate_pool;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_052030555.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_052114445.1,D12_candidate_pool;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_052115545.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_052262835.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_052375315.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_052402035.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
