case_id,accession,assembly_sha256,species,assembly_level,seq_rel_date,target,retrieval
RS11,GCF_053903025.1,fbdb3d6d31d41ebb559160d8a2700d340f256daf20657b96f9a84cd0a5c97262,Escherichia coli,Complete Genome,2025-11-19,tetA_tetracycline_efflux,datasets download genome accession GCF_053903025.1 --include genome && verify SHA256 == fbdb3d6d31d41ebb559160d8a2700d340f256daf20657b96f9a84cd0a5c97262
RS12,GCF_057669585.1,7c7359fb38f88e8394aaf0b3f2e78a1bd1be2909dec734f6169b7d3d55aeb5bd,Leifsonia sp.,Contig,2026-05-20,tetA_tetracycline_efflux,datasets download genome accession GCF_057669585.1 --include genome && verify SHA256 == 7c7359fb38f88e8394aaf0b3f2e78a1bd1be2909dec734f6169b7d3d55aeb5bd
RS13,GCF_047313245.1,56c46182d7a67e38d6eb70f5b58f8da7e4b6dc44ec5d7fcbfbd110fcb6f219bb,Citrobacter braakii,Contig,2025-01-29,tetA_tetracycline_efflux,datasets download genome accession GCF_047313245.1 --include genome && verify SHA256 == 56c46182d7a67e38d6eb70f5b58f8da7e4b6dc44ec5d7fcbfbd110fcb6f219bb
RS14,GCF_057572365.1,ff93d848a81465386fd0b923384d5107c3c6e8d8df45970dc763c84c5d173bf1,Klebsiella pneumoniae,Scaffold,2026-05-15,tetA_tetracycline_efflux,datasets download genome accession GCF_057572365.1 --include genome && verify SHA256 == ff93d848a81465386fd0b923384d5107c3c6e8d8df45970dc763c84c5d173bf1
RS15,GCF_059400085.1,08466db58e56d73bdb8ea2ccd91ad3ca3b73e0de8cf45a6b18268b09e12b8f0c,Brucella melitensis,Contig,2026-07-14,tetA_tetracycline_efflux,datasets download genome accession GCF_059400085.1 --include genome && verify SHA256 == 08466db58e56d73bdb8ea2ccd91ad3ca3b73e0de8cf45a6b18268b09e12b8f0c
RS16,GCF_051069775.1,8d36360858bf40ca0decaaf1adba71af0b675f7d42f5771cc5bbc5c144cdbbb9,Ralstonia solanacearum,Contig,2025-06-25,tetA_tetracycline_efflux,datasets download genome accession GCF_051069775.1 --include genome && verify SHA256 == 8d36360858bf40ca0decaaf1adba71af0b675f7d42f5771cc5bbc5c144cdbbb9
RS17,GCF_057808735.1,4f8717ec435a9bf9fcc08ba40d76c695ed768ddc1088335a8910b0eeaec4fcb2,Chromobacterium sp.,Contig,2026-06-01,tetA_tetracycline_efflux,datasets download genome accession GCF_057808735.1 --include genome && verify SHA256 == 4f8717ec435a9bf9fcc08ba40d76c695ed768ddc1088335a8910b0eeaec4fcb2
RS18,GCF_056521545.1,ef257fcd9a3e73dfde5df7b0e6f2e0aa4e4bc079d7a787d2bec2291a12078711,Enterobacter cloacae,Contig,2026-04-01,tetA_tetracycline_efflux,datasets download genome accession GCF_056521545.1 --include genome && verify SHA256 == ef257fcd9a3e73dfde5df7b0e6f2e0aa4e4bc079d7a787d2bec2291a12078711
RS19,GCF_053233725.1,3465d37ff0b9283c09ce42af1db210d6e79be773b6689779b2df4cbb580ed056,Clostridioides difficile,Contig,2025-10-28,tetA_tetracycline_efflux,datasets download genome accession GCF_053233725.1 --include genome && verify SHA256 == 3465d37ff0b9283c09ce42af1db210d6e79be773b6689779b2df4cbb580ed056
RS20,GCF_052065715.1,213106fd964ee3e5d6f40ee270a826253e42d0614dfc2b049425670eac78d71f,Ligilactobacillus salivarius,Contig,2025-08-16,tetA_tetracycline_efflux,datasets download genome accession GCF_052065715.1 --include genome && verify SHA256 == 213106fd964ee3e5d6f40ee270a826253e42d0614dfc2b049425670eac78d71f
