N,q_discordance,p_agentic_favours,expected_discordant_pairs,alpha,test,power,powered_ge_0.80
60,0.10,0.70,6.0,0.05,exact_two_sided_mcnemar_binomial,0.063087,NO
60,0.10,0.75,6.0,0.05,exact_two_sided_mcnemar_binomial,0.099577,NO
60,0.10,0.80,6.0,0.05,exact_two_sided_mcnemar_binomial,0.151421,NO
60,0.10,0.85,6.0,0.05,exact_two_sided_mcnemar_binomial,0.221893,NO
60,0.20,0.60,12.0,0.05,exact_two_sided_mcnemar_binomial,0.059627,NO
60,0.20,0.65,12.0,0.05,exact_two_sided_mcnemar_binomial,0.110497,NO
60,0.20,0.70,12.0,0.05,exact_two_sided_mcnemar_binomial,0.191785,NO
60,0.20,0.75,12.0,0.05,exact_two_sided_mcnemar_binomial,0.307534,NO
60,0.20,0.80,12.0,0.05,exact_two_sided_mcnemar_binomial,0.455104,NO
60,0.20,0.85,12.0,0.05,exact_two_sided_mcnemar_binomial,0.621756,NO
60,0.30,0.60,18.0,0.05,exact_two_sided_mcnemar_binomial,0.090832,NO
60,0.30,0.65,18.0,0.05,exact_two_sided_mcnemar_binomial,0.180294,NO
60,0.30,0.70,18.0,0.05,exact_two_sided_mcnemar_binomial,0.317939,NO
60,0.30,0.75,18.0,0.05,exact_two_sided_mcnemar_binomial,0.495396,NO
60,0.30,0.80,18.0,0.05,exact_two_sided_mcnemar_binomial,0.684526,NO
60,0.30,0.85,18.0,0.05,exact_two_sided_mcnemar_binomial,0.845485,YES
60,0.40,0.60,24.0,0.05,exact_two_sided_mcnemar_binomial,0.114631,NO
60,0.40,0.65,24.0,0.05,exact_two_sided_mcnemar_binomial,0.239257,NO
60,0.40,0.70,24.0,0.05,exact_two_sided_mcnemar_binomial,0.422730,NO
60,0.40,0.75,24.0,0.05,exact_two_sided_mcnemar_binomial,0.634916,NO
60,0.40,0.80,24.0,0.05,exact_two_sided_mcnemar_binomial,0.822143,YES
60,0.40,0.85,24.0,0.05,exact_two_sided_mcnemar_binomial,0.940953,YES
60,0.50,0.60,30.0,0.05,exact_two_sided_mcnemar_binomial,0.142135,NO
60,0.50,0.65,30.0,0.05,exact_two_sided_mcnemar_binomial,0.303315,NO
60,0.50,0.70,30.0,0.05,exact_two_sided_mcnemar_binomial,0.524935,NO
60,0.50,0.75,30.0,0.05,exact_two_sided_mcnemar_binomial,0.748656,NO
60,0.50,0.80,30.0,0.05,exact_two_sided_mcnemar_binomial,0.907219,YES
60,0.50,0.85,30.0,0.05,exact_two_sided_mcnemar_binomial,0.979773,YES
80,0.10,0.60,8.0,0.05,exact_two_sided_mcnemar_binomial,0.037384,NO
80,0.10,0.65,8.0,0.05,exact_two_sided_mcnemar_binomial,0.064328,NO
80,0.10,0.70,8.0,0.05,exact_two_sided_mcnemar_binomial,0.107695,NO
80,0.10,0.75,8.0,0.05,exact_two_sided_mcnemar_binomial,0.171948,NO
80,0.10,0.80,8.0,0.05,exact_two_sided_mcnemar_binomial,0.260928,NO
80,0.10,0.85,8.0,0.05,exact_two_sided_mcnemar_binomial,0.376220,NO
80,0.20,0.60,16.0,0.05,exact_two_sided_mcnemar_binomial,0.081174,NO
80,0.20,0.65,16.0,0.05,exact_two_sided_mcnemar_binomial,0.158004,NO
80,0.20,0.70,16.0,0.05,exact_two_sided_mcnemar_binomial,0.277600,NO
80,0.20,0.75,16.0,0.05,exact_two_sided_mcnemar_binomial,0.436794,NO
80,0.20,0.80,16.0,0.05,exact_two_sided_mcnemar_binomial,0.616816,NO
80,0.20,0.85,16.0,0.05,exact_two_sided_mcnemar_binomial,0.785701,NO
80,0.30,0.60,24.0,0.05,exact_two_sided_mcnemar_binomial,0.114802,NO
80,0.30,0.65,24.0,0.05,exact_two_sided_mcnemar_binomial,0.239501,NO
80,0.30,0.70,24.0,0.05,exact_two_sided_mcnemar_binomial,0.422745,NO
80,0.30,0.75,24.0,0.05,exact_two_sided_mcnemar_binomial,0.634179,NO
80,0.30,0.80,24.0,0.05,exact_two_sided_mcnemar_binomial,0.820551,YES
80,0.30,0.85,24.0,0.05,exact_two_sided_mcnemar_binomial,0.939291,YES
80,0.40,0.60,32.0,0.05,exact_two_sided_mcnemar_binomial,0.152991,NO
80,0.40,0.65,32.0,0.05,exact_two_sided_mcnemar_binomial,0.326654,NO
80,0.40,0.70,32.0,0.05,exact_two_sided_mcnemar_binomial,0.558050,NO
80,0.40,0.75,32.0,0.05,exact_two_sided_mcnemar_binomial,0.779492,NO
80,0.40,0.80,32.0,0.05,exact_two_sided_mcnemar_binomial,0.924954,YES
80,0.40,0.85,32.0,0.05,exact_two_sided_mcnemar_binomial,0.985268,YES
80,0.50,0.60,40.0,0.05,exact_two_sided_mcnemar_binomial,0.198326,NO
80,0.50,0.65,40.0,0.05,exact_two_sided_mcnemar_binomial,0.420058,NO
